model,task,category,metric,superweight_id,ablated_model_prefix,layer,row,col,baseline_score,ablated_score,delta_abs,delta_rel
olmo1b,mgsm_direct_en,math,"exact_match,flexible-extract",sw1,sw1_ablated_model,1,1764,1710,0.08,0.0,0.08,1.0
olmo1b,mgsm_direct_en,math,"exact_match,flexible-extract",sw2,sw2_ablated_model,2,1764,8041,0.08,0.08,0.0,0.0
olmo1b,hellaswag,reasoning,"acc,none",sw1,sw1_ablated_model,1,1764,1710,0.465,0.31,0.15500000000000003,0.33333333333333337
olmo1b,hellaswag,reasoning,"acc,none",sw2,sw2_ablated_model,2,1764,8041,0.465,0.465,0.0,0.0
olmo1b,sciq,knowledge,"acc,none",sw1,sw1_ablated_model,1,1764,1710,0.935,0.3,0.635,0.6791443850267379
olmo1b,sciq,knowledge,"acc,none",sw2,sw2_ablated_model,2,1764,8041,0.935,0.935,0.0,0.0
olmo1b,lambada_openai,causal,"acc,none",sw1,sw1_ablated_model,1,1764,1710,0.61,0.0,0.61,1.0
olmo1b,lambada_openai,causal,"acc,none",sw2,sw2_ablated_model,2,1764,8041,0.61,0.625,-0.015000000000000013,-0.024590163934426253
